Variable,Feature,Hour,¦Â,R2,P,avg_UTCI,avg_air_temp,avg_relative_humidity,avg_MRT,avg_wind_speed
UTCI,mean_tree_height,8,-0.275895096,0.993066461,2.01E-15,29.9497,26.759344,91.58767,27.853554,0.95330864
UTCI,mean_tree_height,9,-0.214276374,0.988072266,7.23E-15,34.190483,28.674576,84.249275,37.33753,0.640349
UTCI,mean_tree_height,10,-0.1985078,0.988986434,4.14E-15,36.493423,30.680185,77.313,44.759624,1.373024
UTCI,mean_tree_height,11,-0.163493664,0.965152595,1.33E-11,38.05563,31.747183,70.24854,49.240795,1.3792592
UTCI,mean_tree_height,12,-0.191185998,0.966133766,1.09E-11,40.744576,33.075314,64.8039,54.666256,0.98492485
UTCI,mean_tree_height,13,-0.190201643,0.990925397,1.16E-14,40.541843,33.56245,66.01387,57.242165,2.295845
UTCI,mean_tree_height,14,-0.18459671,0.962664644,7.54E-13,35.90558,30.916485,67.768616,57.527584,4.349506
UTCI,mean_tree_height,15,-0.199156564,0.997072848,3.95E-10,37.888226,30.408379,69.79076,56.805546,1.7003468
UTCI,mean_tree_height,16,-0.269458587,0.9872361,1.16E-14,37.717678,31.665348,63.201992,52.270844,1.3730094
UTCI,mean_tree_height,17,-0.277904293,0.976490451,8.40E-13,37.465744,30.315516,71.262985,52.61126,1.3716372
UTCI,mean_tree_height,18,-0.260693377,0.998239509,1.10E-20,32.19445,28.622053,76.283005,34.36777,0.98473024
UTCI,mean_tree_height,19,-0.217627865,0.993441267,1.40E-15,30.558544,27.523672,83.82451,30.866632,0.9851383
UTCI,mean_building_height,8,1.337726032,0.8932626,3.50E-07,29.9497,26.759344,91.58767,27.853554,0.95330864
UTCI,mean_building_height,9,1.113796481,0.937334779,1.03E-06,34.190483,28.674576,84.249275,37.33753,0.640349
UTCI,mean_building_height,10,1.28244559,0.866404298,1.36E-06,36.493423,30.680185,77.313,44.759624,1.373024
UTCI,mean_building_height,11,0.563410006,0.926984431,0.000502449,38.05563,31.747183,70.24854,49.240795,1.3792592
UTCI,mean_building_height,12,0.603638278,0.926567942,0.000509725,40.744576,33.075314,64.8039,54.666256,0.98492485
UTCI,mean_building_height,13,0.52017346,0.936281841,0.000356192,40.541843,33.56245,66.01387,57.242165,2.295845
UTCI,mean_building_height,14,0.460718379,0.974482185,1.17E-07,35.90558,30.916485,67.768616,57.527584,4.349506
UTCI,mean_building_height,15,1.080815576,0.916386347,2.23E-08,37.888226,30.408379,69.79076,56.805546,1.7003468
UTCI,mean_building_height,16,1.489643009,0.831277432,5.63E-06,37.717678,31.665348,63.201992,52.270844,1.3730094
UTCI,mean_building_height,17,1.091899222,0.928173334,7.50E-06,37.465744,30.315516,71.262985,52.61126,1.3716372
UTCI,mean_building_height,18,0.563734612,0.958179035,1.65E-07,32.19445,28.622053,76.283005,34.36777,0.98473024
UTCI,mean_building_height,19,0.563586492,0.966414954,1.87E-09,30.558544,27.523672,83.82451,30.866632,0.9851383
UTCI,tree_proportion,8,-0.530831106,0.481588434,0.0381005,29.9497,26.759344,91.58767,27.853554,0.95330864
UTCI,tree_proportion,9,-0.241530424,0.6732329,0.000178612,34.190483,28.674576,84.249275,37.33753,0.640349
UTCI,tree_proportion,10,-0.285173277,0.708096953,0.000310603,36.493423,30.680185,77.313,44.759624,1.373024
UTCI,tree_proportion,11,-0.154072832,0.68121663,0.000278001,38.05563,31.747183,70.24854,49.240795,1.3792592
UTCI,tree_proportion,12,-0.147267408,0.455155958,0.00414586,40.744576,33.075314,64.8039,54.666256,0.98492485
UTCI,tree_proportion,13,-0.177804505,0.733216247,9.27E-05,40.541843,33.56245,66.01387,57.242165,2.295845
UTCI,tree_proportion,14,-0.051139829,0.076416995,0.31858733,35.90558,30.916485,67.768616,57.527584,4.349506
UTCI,tree_proportion,15,-0.185388567,0.746143324,1.61E-05,37.888226,30.408379,69.79076,56.805546,1.7003468
UTCI,tree_proportion,16,-0.307699334,0.876735185,2.83E-07,37.717678,31.665348,63.201992,52.270844,1.3730094
UTCI,tree_proportion,17,-0.273960442,0.870876184,4.63E-08,37.465744,30.315516,71.262985,52.61126,1.3716372
UTCI,tree_proportion,18,-1.024183123,0.93279668,3.47E-07,32.19445,28.622053,76.283005,34.36777,0.98473024
UTCI,tree_proportion,19,-1.155949102,0.850566743,0.003102489,30.558544,27.523672,83.82451,30.866632,0.9851383
UTCI,building_proportion,8,1.09886625,0.84343108,1.36E-06,29.9497,26.759344,91.58767,27.853554,0.95330864
UTCI,building_proportion,9,1.130620499,0.871554239,1.07E-06,34.190483,28.674576,84.249275,37.33753,0.640349
UTCI,building_proportion,10,0.819774447,0.936773233,8.71E-10,36.493423,30.680185,77.313,44.759624,1.373024
UTCI,building_proportion,11,0.87458023,0.882880747,2.21E-08,38.05563,31.747183,70.24854,49.240795,1.3792592
UTCI,building_proportion,12,0.88441659,0.896061908,8.98E-09,40.744576,33.075314,64.8039,54.666256,0.98492485
UTCI,building_proportion,13,0.458539707,0.955438522,2.19E-07,40.541843,33.56245,66.01387,57.242165,2.295845
UTCI,building_proportion,14,0.412245486,0.961910179,3.74E-09,35.90558,30.916485,67.768616,57.527584,4.349506
UTCI,building_proportion,15,0.951928687,0.880296085,2.61E-08,37.888226,30.408379,69.79076,56.805546,1.7003468
UTCI,building_proportion,16,1.009995583,0.925080828,7.60E-10,37.717678,31.665348,63.201992,52.270844,1.3730094
UTCI,building_proportion,17,1.11747183,0.841861552,6.90E-05,37.465744,30.315516,71.262985,52.61126,1.3716372
UTCI,building_proportion,18,0.447176648,0.944153165,3.09E-08,32.19445,28.622053,76.283005,34.36777,0.98473024
UTCI,building_proportion,19,0.391735864,0.924716831,1.61E-07,30.558544,27.523672,83.82451,30.866632,0.9851383
UTCI,st1_proportion,8,0.722264146,0.939804924,3.48E-11,29.9497,26.759344,91.58767,27.853554,0.95330864
UTCI,st1_proportion,9,0.840737179,0.824885661,2.84E-06,34.190483,28.674576,84.249275,37.33753,0.640349
UTCI,st1_proportion,10,0.865387442,0.789614991,1.88E-06,36.493423,30.680185,77.313,44.759624,1.373024
UTCI,st1_proportion,11,0.353605724,0.892668775,0.00012316,38.05563,31.747183,70.24854,49.240795,1.3792592
UTCI,st1_proportion,12,0.483034402,0.95352021,4.37E-12,40.744576,33.075314,64.8039,54.666256,0.98492485
UTCI,st1_proportion,13,0.309823118,0.908583419,1.98E-05,40.541843,33.56245,66.01387,57.242165,2.295845
UTCI,st1_proportion,14,0.235400595,0.915764736,3.92E-06,35.90558,30.916485,67.768616,57.527584,4.349506
UTCI,st1_proportion,15,0.352512387,0.967808033,1.32E-12,37.888226,30.408379,69.79076,56.805546,1.7003468
UTCI,st1_proportion,16,0.367170169,0.963579492,1.81E-11,37.717678,31.665348,63.201992,52.270844,1.3730094
UTCI,st1_proportion,17,0.451588396,0.963794842,9.45E-11,37.465744,30.315516,71.262985,52.61126,1.3716372
UTCI,st1_proportion,18,0.830163051,0.965802284,0.118409248,32.19445,28.622053,76.283005,34.36777,0.98473024
UTCI,st1_proportion,19,0.870361706,0.958959183,0.129868702,30.558544,27.523672,83.82451,30.866632,0.9851383
UTCI,st2_proportion,8,1.413433326,0.985485584,0.076884028,29.9497,26.759344,91.58767,27.853554,0.95330864
UTCI,st2_proportion,9,0.148603813,0.971594608,5.16E-13,34.190483,28.674576,84.249275,37.33753,0.640349
UTCI,st2_proportion,10,0.194432635,0.951681628,1.27E-12,36.493423,30.680185,77.313,44.759624,1.373024
